DEPARTAMENTO,MUNICIPIO,ARMAS MEDIOS,FECHA HECHO,GENERO,*AGRUPA EDAD PERSONA,CANTIDAD
AMAZONAS,LETICIA (CT),ARMA BLANCA / CORTOPUNZANTE,12/02/2021,FEMENINO,ADULTOS,1
AMAZONAS,LETICIA (CT),ARMA BLANCA / CORTOPUNZANTE,24/02/2021,FEMENINO,ADOLESCENTES,1
AMAZONAS,LETICIA (CT),ARMA BLANCA / CORTOPUNZANTE,11/03/2021,MASCULINO,ADULTOS,1
AMAZONAS,LETICIA (CT),ARMA BLANCA / CORTOPUNZANTE,21/03/2021,FEMENINO,ADULTOS,1
AMAZONAS,LETICIA (CT),ARMA BLANCA / CORTOPUNZANTE,03/04/2021,MASCULINO,ADULTOS,1
AMAZONAS,PUERTO NARIÑO,ARMA BLANCA / CORTOPUNZANTE,01/04/2021,FEMENINO,ADULTOS,1
ANTIOQUIA,ANDES,ARMA BLANCA / CORTOPUNZANTE,14/01/2021,MASCULINO,ADULTOS,1
ANTIOQUIA,ANDES,ARMA BLANCA / CORTOPUNZANTE,01/02/2021,MASCULINO,ADULTOS,1
ANTIOQUIA,ANORÍ,ARMA BLANCA / CORTOPUNZANTE,02/01/2021,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,ARMA BLANCA / CORTOPUNZANTE,01/01/2021,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,ARMA BLANCA / CORTOPUNZANTE,02/01/2021,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,ARMA BLANCA / CORTOPUNZANTE,04/01/2021,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,ARMA BLANCA / CORTOPUNZANTE,06/01/2021,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,ARMA BLANCA / CORTOPUNZANTE,08/01/2021,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,ARMA BLANCA / CORTOPUNZANTE,25/01/2021,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,ARMA BLANCA / CORTOPUNZANTE,28/01/2021,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,ARMA BLANCA / CORTOPUNZANTE,30/01/2021,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,ARMA BLANCA / CORTOPUNZANTE,03/02/2021,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,ARMA BLANCA / CORTOPUNZANTE,08/02/2021,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,ARMA BLANCA / CORTOPUNZANTE,23/02/2021,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,ARMA BLANCA / CORTOPUNZANTE,25/02/2021,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,ARMA BLANCA / CORTOPUNZANTE,27/02/2021,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,ARMA BLANCA / CORTOPUNZANTE,28/02/2021,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,ARMA BLANCA / CORTOPUNZANTE,09/03/2021,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,ARMA BLANCA / CORTOPUNZANTE,10/03/2021,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,ARMA BLANCA / CORTOPUNZANTE,21/03/2021,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,ARMA BLANCA / CORTOPUNZANTE,29/03/2021,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,ARMA BLANCA / CORTOPUNZANTE,05/04/2021,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,ARMA BLANCA / CORTOPUNZANTE,12/04/2021,MASCULINO,ADULTOS,1
ANTIOQUIA,ARMENIA,ARMA BLANCA / CORTOPUNZANTE,31/01/2021,MASCULINO,ADULTOS,1
ANTIOQUIA,BARBOSA,ARMA BLANCA / CORTOPUNZANTE,07/01/2021,MASCULINO,ADULTOS,1
ANTIOQUIA,BARBOSA,ARMA BLANCA / CORTOPUNZANTE,10/01/2021,MASCULINO,ADULTOS,1
ANTIOQUIA,BARBOSA,ARMA BLANCA / CORTOPUNZANTE,27/02/2021,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,ARMA BLANCA / CORTOPUNZANTE,01/01/2021,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,ARMA BLANCA / CORTOPUNZANTE,04/01/2021,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,ARMA BLANCA / CORTOPUNZANTE,05/01/2021,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,ARMA BLANCA / CORTOPUNZANTE,06/01/2021,MASCULINO,ADULTOS,2
ANTIOQUIA,BELLO,ARMA BLANCA / CORTOPUNZANTE,08/01/2021,FEMENINO,ADULTOS,1
ANTIOQUIA,BELLO,ARMA BLANCA / CORTOPUNZANTE,12/01/2021,FEMENINO,ADULTOS,1
ANTIOQUIA,BELLO,ARMA BLANCA / CORTOPUNZANTE,12/01/2021,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,ARMA BLANCA / CORTOPUNZANTE,15/01/2021,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,ARMA BLANCA / CORTOPUNZANTE,19/01/2021,FEMENINO,ADULTOS,1
